Subject Primary Identifier	Ontology Annotation Subject . Symbol	Base Annotations Subject . Symbol	Subject Background	Subject Zygosity	Ontology Annotation Ontology Term . Identifier	Ontology Annotation Term Name
MGI:2178217	Akap9	Akap9<tm1a(KOMP)Wtsi>/Akap9<+>	involves: C57BL/6 * C57BL/6N	ht	MP:0010831	lethality, incomplete penetrance
MGI:107928	Aldh1a2	Aldh1a2<tm1Dll>/Aldh1a2<tm1Ipc>	involves: CD-1	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:88039	Apc	Apc<Min>/Apc<tm1Tno>	involves: 129/Sv * 129S4/SvJae * C57BL/6	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:88039	Apc	Apc<Min>/Apc<tm1Tno>	involves: 129/Sv * 129S4/SvJae * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:88039	Apc	Apc<tm1.1Tno>/Apc<tm1Tno>	involves: 129/Sv * 129S4/SvJae * BALB/cJ * C57BL/6	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:88042	Apex1	Apex1<tm1Ecf>/Apex1<+>	either: (involves: 129/Sv) or (involves: 129/Sv * C57BL/6)	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:88048	Apo	Apo/Apo<+>	involves: 101 * C3H	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:2152879	Apoca	Apoca/Apoca<+>	involves: 101 * C3H	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1913583	Aqp11	Aqp11<sjds>/Aqp11<tm1Lex>	involves: 129S5/SvEvBrd * BALB/cRl * C57BL/6 * CD-1	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1929494	Arhgap35	Arhgap35<m1Bchd>/Arhgap35<tm1Jset>	involves: 129S2/SvPas * C3H/HeNCrl * C57BL/6J	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:2175912	Arid5b	Arid5b<tm1Whit>/Arid5b<+>	129S1/Sv-Arid5b<tm1Whit>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:2175912	Arid5b	Arid5b<tm1Whit>/Arid5b<+>	involves: 129S1/Sv * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1928375	Arpc3	Arpc3<Tn(sb-lacZ,GFP)T5.117Jtak>/Arpc3<tm1Jtak>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011094	embryonic lethality before implantation, complete penetrance
MGI:96920	Ascl2	Ascl2<tm1Alj>/Ascl2<+>	involves: 129 * CD-1	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:109349	Atf2	Atf2<tm1Glm>/Atf2<+>	involves: 129S2/SvPas	ht	MP:0002082	postnatal lethality
MGI:109349	Atf2	Atf2<tm1Glm>/Atf2<tm1Sis>	involves: 129S2/SvPas * C57BL/6 * CBA	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:104654	Atoh1	Atoh1<tm2Hzo>/Atoh1<tm3.1Hzo>	involves: 129S7/SvEvBrd * C57BL/6J * FVB/N * SJL	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:88107	Atp1a3	Atp1a3<tm1.1Tmklh>/Atp1a3<+>	B6JRj.129S1-Atp1a3<tm1.1Tmklh>	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:99400	Atp7a	Atp7a<Mo-11H>/Atp7a<+>	involves: 101/H * C3H/HeH	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:99400	Atp7a	Atp7a<Mo-Tohm>/Atp7a<+>	B6.Cg-Atp7a<Mo-Tohm>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:99400	Atp7a	Atp7a<Mo-dp2>/Atp7a<+>	Not Specified	ht	MP:0002082	postnatal lethality
MGI:99400	Atp7a	Atp7a<Mo>/Atp7a<+>	Not Specified	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:99400	Atp7a	Atp7a<Mo>/Atp7a<+>	Not Specified	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:107168	Aurkb	Aurkb<tm1.2Mama>/Aurkb<tm2.2Mama>	involves: 129/Sv * BALB/cJ * C57BL/6 * CD-1 * SJL	ht	MP:0008762	embryonic lethality
MGI:88125	Axd	Axd/Axd<+>	involves: ATBR3 * STOCK Cacna1s<mdg>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:88125	Axd	Axd/Axd<+>	involves: BALB/cByJ * STOCK Cacna1s<mdg>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1096327	Axin1	Axin1<tm3Cos>/Axin1<tm4Cos>	involves: 129S6/SvEvTac * FVB/N	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:1270862	Axin2	Axin2<M1J>/Axin2<+>	C57BL/6J-Axin2<M1J>/GrsrJ	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1270862	Axin2	Axin2<M1J>/Axin2<+>	involves: C57BL/6J * FVB/NJ	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1919680	B4gat1	B4gat1<m1Ddg>/B4gat1<tm1(KOMP)Vlcg>	involves: C3H/He * C57BL/6 * C57BL/6NTac	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1929913	Bcl11b	Bcl11b<m1Jpk>/Bcl11b<tm1Jpk>	involves: BALB/c * C57BL/6 * C57BL/6NCrlj * CBA/JNCrlj	ht	MP:0011083	lethality at weaning, complete penetrance
MGI:88180	Bmp4	Bmp4<tm1.1Jlch>/Bmp4<tm2Blh>	involves: 129S1/Sv * 129S6/SvEvTac * 129X1/SvJ * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:88180	Bmp4	Bmp4<tm1.1Jlch>/Bmp4<tm2Blh>	involves: 129S1/Sv * 129S6/SvEvTac * 129X1/SvJ * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:88180	Bmp4	Bmp4<tm1Blh>/Bmp4<+>	B6.129S2-Bmp4<tm1Blh>/J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:88180	Bmp4	Bmp4<tm1Blh>/Bmp4<tm3.1Blh>	involves: 129S2/SvPas * 129S6/SvEvTac * Black Swiss	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:88180	Bmp4	Bmp4<tm1Blh>/Bmp4<tm3.1Blh>	involves: 129S2/SvPas * 129S6/SvEvTac * Black Swiss * ICR	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:88180	Bmp4	Bmp4<tm2Blh>/Bmp4<+>	B6.129S6-Bmp4<tm2Blh>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:88180	Bmp4	Bmp4<tm3Blh>/Bmp4<+>	involves: 129S6/SvEvTac	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:88180	Bmp4	Bmp4<tm5.1Bhr>/Bmp4<tm2.1Blh>	involves: 129S6/SvEvTac * C57BL/6 * CBA * Swiss Webster	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:88181	Bmp5	Bmp5<se>/Bmp5<se-20H>	involves: C3H/HeH	ht	MP:0010770	preweaning lethality
MGI:1095407	Bmpr2	Bmpr2<tm1Kmi>/Bmpr2<+>	involves: 129S4/SvJae * C57BL/6J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1095407	Bmpr2	Bmpr2<tm1Kmi>/Bmpr2<+>	involves: 129S4/SvJae * C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:2444008	Bptf	Bptf<Gt(XG023)Byg>/Bptf<tm1.2Cwu>	involves: 129P2/OlaHsd * 129S1/Sv * C57BL/6	ht	MP:0011096	embryonic lethality between implantation and somite formation, complete penetrance
MGI:88190	Braf	Braf<tm1Bbd>/Braf<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1888520	Brd4	Brd4<Gt(pGT1.8TM)ST132Nimr>/Brd4<+>	involves: 129P2/Ola * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1100510	Bub1	Bub1<Gt(XG453)Byg>/Bub1<tm1.1Tvd>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1333889	Bub1b	Bub1b<tm1Jvd>/Bub1b<tm1.1Jvd>	involves: 129S6/SvEvTac	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1913493	C1galt1c1	C1galt1c1<tm1.2Rdcu>/C1galt1c1<+>	involves: 129S6/SvEvTac * C57BL/6J * FVB/N	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1913493	C1galt1c1	C1galt1c1<tm1.2Rdcu>/C1galt1c1<+>	involves: 129S6/SvEvTac * C57BL/6J * FVB/N	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:2142166	C2cd3	C2cd3<hty>/C2cd3<Gt(AG0177)Wtsi>	involves: 129P2/OlaHsd * C3H/He * C57BL/6	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:109482	Cacna1a	Cacna1a<tm1Nobs>/Cacna1a<tm2Nobs>	involves: 129 * C57BL/6J	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:103013	Cacna1c	Cacna1c<tm2Itl>/Cacna1c<+>	involves: 129S6/SvEvTac * C57BL/6J * C57BL/6NTac	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1913208	Carm1	Carm1<tm1Mtb>/Carm1<+>	involves: 129S6/SvEvTac * Black Swiss	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:99851	Cbfb	Cbfb<tm1Ppl>/Cbfb<+>	either: (involves: 129/Sv * 129S6/SvEvTac) or (involves: 129S6/SvEvTac * Black Swiss) or (involves: 129S6/SvEvTac * C57BL/6)	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:99851	Cbfb	Cbfb<tm1Spe>/Cbfb<tm2.1Spe>	involves: 129S4/SvJae	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:99851	Cbfb	Cbfb<tm3Ppl>/Cbfb<+>	involves: 129S6/SvEvTac * C57BL/6	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:99851	Cbfb	Cbfb<tm3Ppl>/Cbfb<+>	involves: 129S6/SvEvTac * C57BL/6	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:99851	Cbfb	Cbfb<tm3Ppl>/Cbfb<+>	involves: 129S6/SvEvTac * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:88279	Cbl	Cbl<tm1Ddlb>/Cbl<tm2Wlan>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1289263	Ccdc39	Ccdc39<prh>/Ccdc39<tm1a(KOMP)Wtsi>	involves: A/J * C57BL/6N * FVB/N	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:109185	Ccn3	Ccn3<tm1Cabo>/Ccn3<+>	involves: 129S/SvEv	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:1926446	Cd274	Cd274<tm1Igu>/Cd274<+>	involves: 129 * C57BL/6 * CBA/CaJ	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:88354	Cdh1	Cdh1<tm2Kem>/Cdh1<tm5(Cdh2)Kem>	involves: 129P2/OlaHsd * 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011096	embryonic lethality between implantation and somite formation, complete penetrance
MGI:88351	Cdk1	Cdk1<Gt(P009F08)Bbd>/Cdk1<Gt(pGT1-3)1Bbd>	involves: 129/Sv * 129P2/OlaHsd * 129X1/SvJ * C57BL/6	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:88351	Cdk1	Cdk1<tm3.1Kald>/Cdk1<+>	involves: 129 * C57BL/6	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Bbd>/Cdkn1c<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Bbd>/Cdkn1c<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Kat>/Cdkn1c<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Kat>/Cdkn1c<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Kat>/Cdkn1c<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Sje>/Cdkn1c<+>	involves: 129 * C57BL/6	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Sje>/Cdkn1c<+>	involves: 129S2/SvHsd * 129S7/SvEvBrd	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Sje>/Cdkn1c<+>	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:104564	Cdkn1c	Cdkn1c<tm1Sje>/Cdkn1c<+>	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:88361	Cdx2	Cdx2<tm1.2Aral>/Cdx2<tm1Fbe>	involves: 129X1/SvJ * C57BL/6 * SJL	ht	MP:0011094	embryonic lethality before implantation, complete penetrance
MGI:88375	Cenpa	Cenpa<tm1Khac>/Cenpa<tm2Khac>	involves: 129 * 129S1/Sv * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:2448567	Chd2	Chd2<Gt(RRBO46)Byg>/Chd2<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:2448567	Chd2	Chd2<Gt(RRBO46)Byg>/Chd2<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:2444748	Chd7	Chd7<Coa1>/Chd7<+>	involves: C57BL/6J	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:2444748	Chd7	Chd7<Coa1>/Chd7<+>	involves: C57BL/6J	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:2444748	Chd7	Chd7<Flo>/Chd7<+>	involves: C3HeB/FeJ	ht	MP:0002082	postnatal lethality
MGI:2444748	Chd7	Chd7<Gt(S20-7E1)Sor>/Chd7<+>	involves: 129S1/SvImJ * 129S4/SvJae * C57BL/6J	ht	MP:0002082	postnatal lethality
MGI:2444748	Chd7	Chd7<Gt(XK403)Byg>/Chd7<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:2444748	Chd7	Chd7<Gt(XK403)Byg>/Chd7<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:2444748	Chd7	Chd7<Whi>/Chd7<+>	involves: C3HeB/FeJ	ht	MP:0002082	postnatal lethality
MGI:892979	Chm	Chm<tm1Jvdh>/Chm<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:892979	Chm	Chm<tm1Jvdh>/Chm<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:892979	Chm	Chm<tm1Jvdh>/Chm<+>	involves: 129P2/OlaHsd * C57BL/6 * SMZ	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:5311862	Chy6	Chy6/Chy6<+>	involves: C3H/HeH	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:5313307	Chy7	Chy7/Chy7<+>	involves: 101/H * C3H/HeH	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:108023	Cited1	Cited1<tm1Dunw>/Cited1<+>	B6.129P2-Cited1<tm1Dunw>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1306784	Cited2	Cited2<tm1Bha>/Cited2<+>	involves: 129P2/OlaHsd	ht	MP:0002082	postnatal lethality
MGI:1306784	Cited2	Cited2<tm1Ycy>/Cited2<+>	involves: C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1913287	Clec1b	Clec1b<tm1.1Ksi>/Clec1b<+>	involves: C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:2447166	Cmtm7	Cmtm7<tm2a(EUCOMM)Hmgu>/Cmtm7<+>	involves: C57BL/6 * C57BL/6N	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:88431	Cnbp	Cnbp<m1Hrb>/Cnbp<+>	B6.129S4-Cnbp<m1Hrb>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:88467	Col1a1	Col1a1<Aga2>/Col1a1<+>	C3HeB/FeJ-Col1a1<Aga2>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:88467	Col1a1	Col1a1<Aga2>/Col1a1<+>	involves: C3HeB/FeJ * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:88467	Col1a1	Col1a1<tm1.1Jcm>/Col1a1<+>	either: (involves: 129X1/SvJ * C3H/HeJ) or (involves: 129X1/SvJ * CD-1)	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:88467	Col1a1	Col1a1<tm1.1Jcm>/Col1a1<+>	involves: 129X1/SvJ	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:88467	Col1a1	Col1a1<tm1Jcm>/Col1a1<+>	either: (involves: 129X1/SvJ * C3H/HeJ) or (involves: 129X1/SvJ * CD-1)	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:88452	Col2a1	Col2a1<Dmm>/Col2a1<+>	involves: 101 * C3H	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:88452	Col2a1	Col2a1<tm1(SOX9)Crm>/Col2a1<+>	129S/Sv-Col2a1<tm1(SOX9)Crm>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:88452	Col2a1	Col2a1<tm1Prc>/Col2a1<+>	involves: 129/Sv * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:88454	Col4a1	Col4a1<Bru>/Col4a1<+>	Not Specified	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:88454	Col4a1	Col4a1<deltaex40>/Col4a1<+>	B6.129S-Col4a1<deltaex40>	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1347046	Cop1	Cop1<Gt(XR0653)Wtsi>/Cop1<Gt(XR0653)1.1Wtsi>	involves: 129P2/OlaHsd * C57BL/6 * CBA	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:1354962	Copb2	Copb2<em1Rstot>/Copb2<em2Rstot>	involves: C57BL/6 * C57BL/6J * CD-1 * DBA/2	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1349409	Cops3	Cops3<tm1Jrl>/Cops3<tm2Jrl>	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011097	embryonic lethality between somite formation and embryo turning, complete penetrance
MGI:1098280	Crebbp	Crebbp<Gt(U-San)112Imeg>/Crebbp<+>	involves: C57BL/6 * CBA	ht	MP:0002082	postnatal lethality
MGI:1098280	Crebbp	Crebbp<tm1Reck>/Crebbp<+>	involves: 129P2/OlaHsd	ht	MP:0002082	postnatal lethality
MGI:1098280	Crebbp	Crebbp<tm1Reck>/Crebbp<+>	involves: 129P2/OlaHsd	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1098280	Crebbp	Crebbp<tm1Reck>/Crebbp<+>	involves: 129P2/OlaHsd	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:1098280	Crebbp	Crebbp<tm1Reck>/Crebbp<+>	involves: 129P2/OlaHsd	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:1098280	Crebbp	Crebbp<tm1Sis>/Crebbp<+>	involves: BALB/c * C57BL/6 * CBA	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1098280	Crebbp	Crebbp<tm2Pkb>/Crebbp<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:2662567	Crsl	Crsl/Crsl<+>	involves: C3HeB/FeJ	ht	MP:0002082	postnatal lethality
MGI:1920970	Cst6	Cst6<ichq>/Cst6<+>	involves: BALB/cJ	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:109447	Ctcf	Ctcf<tm1.1Laat>/Ctcf<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:88276	Ctnnb1	Ctnnb1<Bfc>/Ctnnb1<+>	either: (involves: BALB/cCrl * C3H/HeNCrl) or (involves: BALB/cCrl * C3H/HeNCrl * C57BL/6)	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:99695	Cttn	Cttn<tm1.2Dvst>/Cttn<+>	B6.Cg-Cttn<tm1.2Dvst>	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1347360	Cul3	Cul3<tm1.1Jdsr>/Cul3<tm1Jro>	involves: 129S4/SvJaeSor * C57BL/6 * SJL	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:1347360	Cul3	Cul3<tm1Jdsr>/Cul3<tm1Jro>	involves: 129S4/SvJaeSor * C57BL/6 * SJL	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:1919834	Cul4b	Cul4b<tm1.1Yxg>/Cul4b<+>	involves: 129X1/SvJ * FVB/N	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:1919834	Cul4b	Cul4b<tm1.1Yxg>/Cul4b<+>	involves: 129X1/SvJ * FVB/N	ht	MP:0011112	lethality during fetal growth through weaning, incomplete penetrance
MGI:101912	Dad1	Dad1<tm1Kni>/Dad1<+>	involves: 129S/SvEv	ht	MP:0011106	embryonic lethality between implantation and somite formation, incomplete penetrance
MGI:94863	Dbf	Dbf/Dbf<+>	involves: 101/H * C3H/HeH	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:103064	Ddx3x	Ddx3x<tm1.2Lyou>/Ddx3x<+>	involves: 129 * C57BL/6	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:103064	Ddx3x	Ddx3x<tm1.2Lyou>/Ddx3x<+>	involves: 129 * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:3653212	Del(11Mpo-Chad)18Brd	Del(11Mpo-Chad)18Brd/+	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:5431226	Del(16App-Runx1)5Yah	Del(16App-Runx1)5Yah/+	involves: 129S1/Sv * 129X1/SvJ * BALB/c * C57BL/6	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:3702641	Del(16Dgcr2-Hira)1Rak	Del(16Dgcr2-Hira)1Rak/+	involves: 129/Sv * 129S6/SvEvTac * C57BL/6 * FVB/N * SJL	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:3798957	Del(16Dgcr2-Hira)3Aam	Del(16Dgcr2-Hira)3Aam/+	involves: 129S1/Sv * 129S7/SvEvBrd * C57BL/6J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:2677647	Del(16Es2el-Ufd1l)217Bld	Del(16Es2el-Ufd1l)217Bld/+	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:5305763	Del(16Tiam1-Kcnj6)7Yey	Del(16Tiam1-Kcnj6)7Yey/+	involves: 129S7/SvEvBrd	ht	MP:0011400	lethality, complete penetrance
MGI:3701442	Del(16Zfp520-Slc25a1)1Awb	Del(16Zfp520-Slc25a1)1Awb/+	involves: 129S6/SvEvTac	ht	MP:0011096	embryonic lethality between implantation and somite formation, complete penetrance
MGI:3701442	Del(16Zfp520-Slc25a1)1Awb	Del(16Zfp520-Slc25a1)1Awb/+	involves: 129S6/SvEvTac * NIH Black Swiss	ht	MP:0011096	embryonic lethality between implantation and somite formation, complete penetrance
MGI:3840884	Del(2Cd44-Hoxd11)43Ddu	Del(2Cd44-Hoxd11)43Ddu/+	involves: 129S1/Sv * 129S2/SvPas * 129X1/SvJ	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:5587810	Del(2Gm13672-Hoxd11)68Ddu	Del(2Gm13672-Hoxd11)68Ddu/+	involves: 129S2/SvPas * C57BL/6 * SJL	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:3840883	Del(2Hoxd-Itga6)42Ddu	Del(2Hoxd-Itga6)42Ddu/+	involves: 129P2/OlaHsd * 129S2/SvPas	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:5508533	Del(2Hoxd1-Hoxd9)63Ddu	Del(2Hoxd1-Hoxd9)63Ddu/+	involves: C57BL/6 * CBA	ht	MP:0011086	postnatal lethality, incomplete penetrance
